   172/299     2.42G   0.01186  0.008765         0   0.02063         1       256    0.6957    0.9286    0.9338    0.6311   0.01894   0.01571         0
   173/299     2.42G   0.01097  0.008404         0   0.01938         1       256    0.7358    0.8929    0.9145    0.6509   0.01809   0.01704         0
   174/299     2.42G   0.01052  0.007772         0   0.01829         0       256    0.7726    0.9286    0.9194     0.645    0.0185   0.01603         0
   175/299     2.42G   0.01094  0.008208         0   0.01914         1       256     0.825    0.9286    0.9202    0.6289   0.01866   0.01586         0
   176/299     2.42G   0.01147  0.008451         0   0.01992         1       256    0.7706    0.9286    0.9239    0.6344   0.01826   0.01571         0
   177/299     2.42G   0.01202  0.008452         0   0.02047         2       256    0.8133    0.9286     0.925    0.6302   0.01811   0.01594         0
   178/299     2.42G   0.01106   0.00846         0   0.01952         0       256     0.872    0.9286     0.925    0.6592   0.01763   0.01534         0
   179/299     2.42G   0.01095  0.009148         0    0.0201         0       256    0.8067    0.9286     0.925    0.6514    0.0189   0.01617         0
   180/299     2.42G     0.012  0.009082         0   0.02108         2       256    0.8242    0.9286    0.9239    0.6054    0.0203   0.01683         0
   181/299     2.42G   0.01092  0.009152         0   0.02007         1       256    0.8789    0.9286    0.9204    0.6219   0.01944    0.0163         0
   182/299     2.42G   0.01006  0.007838         0   0.01789         2       256    0.8628    0.8929    0.9151    0.6363   0.01892    0.0159         0
   183/299     2.42G   0.01105  0.008517         0   0.01957         1       256    0.8225    0.9286    0.9229    0.6406   0.01852   0.01496         0
   184/299     2.42G   0.01081   0.00778         0   0.01859         0       256    0.8653    0.9286    0.9213    0.6401   0.01871    0.0151         0
   185/299     2.42G   0.01121  0.007621         0   0.01883         1       256    0.8716    0.9286    0.9224    0.6105   0.01912   0.01647         0
   186/299     2.42G  0.009597  0.007575         0   0.01717         1       256    0.9265    0.8929    0.9219    0.6156   0.01925   0.01697         0
   187/299     2.42G   0.01023  0.007835         0   0.01806         2       256    0.9266    0.9026    0.9425    0.6122   0.01933   0.01591         0
   188/299     2.42G   0.01057   0.01025         0   0.02082         1       256    0.9228    0.9286    0.9566    0.6102   0.01926   0.01497         0
   189/299     2.42G   0.01177  0.007953         0   0.01973         1       256    0.8777    0.9286    0.9552    0.6008   0.01905   0.01455         0
   190/299     2.42G   0.01076  0.008588         0   0.01935         1       256     0.799    0.9643    0.9611    0.6149     0.019   0.01476         0
   191/299     2.42G   0.01019  0.008874         0   0.01906         0       256    0.8275    0.9643    0.9611    0.6345    0.0183   0.01402         0
   192/299     2.42G   0.01198   0.01041         0   0.02238         1       256    0.7741    0.9643    0.9566    0.6285    0.0184   0.01475         0
   193/299     2.42G   0.01064  0.007646         0   0.01828         1       256    0.7558    0.9286    0.9434    0.6428   0.01783    0.0156         0
   194/299     2.42G  0.009846  0.007924         0   0.01777         1       256    0.8281    0.8214    0.8946    0.5751   0.01929   0.01939         0
   195/299     2.42G  0.009644  0.008593         0   0.01824         0       256    0.8605    0.8571    0.8872     0.569   0.01933    0.0195         0
   196/299     2.42G  0.008172  0.006849         0   0.01502         0       256    0.8192    0.8571    0.8912    0.5765   0.01923    0.0192         0
   197/299     2.42G   0.01182  0.008611         0   0.02043         0       256    0.7503    0.8929     0.927    0.6187   0.01844   0.01728         0
   198/299     2.42G   0.01001  0.007795         0    0.0178         1       256    0.8109    0.8929    0.9179    0.6212   0.01874   0.01676         0
   199/299     2.42G    0.0117  0.008849         0   0.02055         1       256    0.8432    0.8929    0.9161    0.6068   0.01925   0.01702         0
   200/299     2.42G   0.01132  0.008016         0   0.01934         1       256    0.8789    0.8929    0.9173    0.6222   0.01932   0.01683         0
   201/299     2.42G  0.009092  0.008363         0   0.01746         1       256    0.8477    0.9286    0.9239    0.5953   0.01961   0.01699         0
   202/299     2.42G   0.00851  0.008816         0   0.01733         2       256    0.7529    0.9286    0.9334     0.624   0.01917   0.01652         0
   203/299     2.42G   0.01058   0.00871         0   0.01929         1       256    0.7544    0.9286    0.9342    0.6044   0.01911   0.01603         0
   204/299     2.42G  0.009798  0.008972         0   0.01877         1       256    0.7631    0.9286     0.925    0.6314   0.01893   0.01609         0
   205/299     2.42G   0.01042  0.009681         0    0.0201         0       256    0.8235    0.9286     0.925    0.6127   0.01875   0.01611         0
   206/299     2.42G   0.01097  0.007989         0   0.01896         1       256    0.8139    0.9286     0.925    0.6141   0.01901   0.01612         0
   207/299     2.42G  0.009213  0.008045         0   0.01726         0       256    0.7969    0.9286    0.9239    0.6178   0.01871   0.01636         0
   208/299     2.42G   0.01199  0.009139         0   0.02112         0       256    0.7532    0.9286     0.925     0.602   0.01826    0.0164         0
   209/299     2.42G   0.01085  0.008377         0   0.01923         0       256    0.8495    0.9286     0.925    0.6297   0.01818   0.01614         0
   210/299     2.42G  0.009786  0.008558         0   0.01834         1       256    0.8742    0.9286     0.925    0.6313   0.01837   0.01608         0
   211/299     2.42G  0.008363  0.006413         0   0.01478         0       256    0.8085    0.9286    0.9427    0.6404   0.01811   0.01596         0
   212/299     2.42G   0.01015  0.008226         0   0.01838         1       256    0.8132    0.9286     0.948    0.6369   0.01889   0.01577         0
   213/299     2.42G    0.0105  0.009518         0   0.02002         1       256    0.8526    0.9286    0.9421    0.6513   0.01812   0.01518         0
   214/299     2.42G   0.01026  0.008879         0   0.01914         0       256     0.802    0.9286    0.9304    0.6357   0.01822   0.01596         0
   215/299     2.42G  0.008487  0.007974         0   0.01646         0       256    0.8187    0.9286     0.925    0.6257    0.0182   0.01585         0
   216/299     2.42G  0.007511  0.006645         0   0.01416         2       256    0.8309    0.9286    0.9229    0.6189   0.01882   0.01635         0
   217/299     2.42G  0.009862  0.009735         0    0.0196         1       256    0.7862    0.9286     0.925     0.621   0.01951   0.01682         0
   218/299     2.42G  0.009315  0.007998         0   0.01731         1       256    0.7424    0.9286     0.925    0.6237   0.01821   0.01624         0
   219/299     2.42G  0.008175  0.007525         0    0.0157         2       256    0.7849    0.9286    0.9239    0.6336   0.01791   0.01566         0
   220/299     2.42G  0.009616  0.008221         0   0.01784         0       256    0.8714    0.9286    0.9224    0.6239   0.01786   0.01557         0
   221/299     2.42G  0.008445  0.007639         0   0.01608         1       256     0.866    0.9231     0.918    0.6164   0.01815   0.01668         0
   222/299     2.42G   0.00922  0.008407         0   0.01763         1       256    0.8507    0.9286    0.9195    0.5897   0.01838   0.01699         0
   223/299     2.42G  0.009423  0.008078         0    0.0175         2       256    0.8418    0.8929    0.9175    0.5989   0.01907   0.01811         0
